symbol,target_side,raw_target_signed_weight,raw_target_notional,reference_price,current_signed_qty,current_signed_notional,raw_target_abs_qty,target_lattice_abs_qty,target_lattice_signed_qty,short_position_residual_qty,expected_final_signed_qty,executable_expected_signed_weight,projection_weight_gap,projection_notional_gap,estimated_entry_qty,estimated_entry_buying_power,buying_power_price,integer_target_required,constraint_reasons
TSLA,short,-0.031197869093149,-2775.976408590288,378.96,-6.9961,-2648.793421,7.325249125475745,7.0,-7.0,-0.0038999999999997925,-6.9961,-0.02976852041949353,0.0014293486736554697,127.18298759028812,0.0,0.0,390.3288,True,"['short_target_integer', 'carried_by_min_trade_notional']"
TW,long,0.0333333333333333,2965.98933333333,98.11,30.3856,2981.131216,30.231264227227907,30.2312,30.2312,0.0,30.2312,0.033333262515666505,-7.081766679428578e-08,-0.0063013333297021745,0.0,0.0,98.227732,False,[]
UBS,short,-0.0325491258742639,-2896.210804571722,52.2,-56.0,-2923.76,55.482965604822255,55.0,-55.0,0.0,-55.0,-0.03226579371829613,0.0002833321559677652,25.210804571721837,0.0,0.0,53.766000000000005,True,['short_target_integer']
UNH,short,-0.0190396585817903,-1694.1427279169548,430.62,-4.0,-1722.84,3.934194249958095,4.0,-4.0,0.0,-4.0,-0.0193621734760116,-0.0003225148942213005,-28.697272083045164,0.0,0.0,443.53860000000003,True,"['short_target_integer', 'carried_by_min_trade_notional']"
VMI,long,0.0074394225482506,661.9574377281228,526.05,1.2328,650.375968,1.2583546007568156,1.2583,1.2583,0.0,1.2583,0.00743909974726814,-3.228009824596291e-07,-0.02872272812294341,0.025500000000000078,13.43037213000004,526.68126,False,[]
VST,short,-0.0333333333333333,-2965.98933333333,161.21,-19.0036,-3062.145086,18.398296218183297,18.0,-18.0,0.0035999999999987153,-18.0036,-0.032618237736975454,0.0007150955963578388,63.62897733332966,0.0,0.0,166.0463,True,['short_target_integer']
WMT,short,-0.0025303446674791,-225.14925880199672,111.58,-2.0,-223.22,2.0178280946585114,2.0,-2.0,0.0,-2.0,-0.002508662651967281,2.1682015511819375e-05,1.929258801996724,0.0,0.0,114.9274,True,"['short_target_integer', 'carried_by_min_trade_notional']"
WTRG,long,0.0120473445883635,1071.9688663223158,38.98,27.0995,1057.151495,27.500484000059412,27.5004,27.5004,0.0,27.5004,0.012047307789823472,-3.6798540025926504e-08,-0.003274322315974132,0.40090000000000003,15.645834498400001,39.026776,False,[]
XP,short,-2.8645691140170825e-05,-2.548884431031235,16.675,-0.1509,-2.512485,0.15285663754310252,0.0,-0.0,0.1509,-0.1509,-2.823661537106e-05,4.0907576911082395e-07,0.036399431031235,0.0,0.0,17.175250000000002,True,"['short_target_integer', 'carried_by_min_trade_notional']"
Z,long,0.0333333333333333,2965.98933333333,32.2,93.0,2988.555,92.11146997929595,92.1114,92.1114,0.0,92.1114,0.03333330800919941,-2.5324133886109762e-08,-0.002253333329463203,0.0,0.0,32.238640000000004,False,[]
ZTS,short,-0.0043121456431177,-383.69333943800706,75.36,-4.9938,-376.432644,5.091472126300518,5.0,-5.0,-0.006199999999999761,-4.9938,-0.004230546165146919,8.159947797078025e-05,7.260695438007076,0.0,0.0,77.6208,True,"['short_target_integer', 'carried_by_min_trade_notional']"
